code	documentId	entryExists	entryDate	entryDataJson
accident_journal	cmnyp94j2003w08ts6pjlptf0	0		
audit_plan	cmnyp94lk003y08ts9qw0hpez	0		
audit_protocol	cmnyp94n2004008tsmx3vtmtd	0		
audit_report	cmnyp94oa004208tsxq9zndq0	0		
breakdown_history	cmnyp94q6004408ts4p69yswq	0		
cleaning	cmnyono7r002z08ts9vf9a6xq	0		
cleaning_ventilation_checklist	cmnyodrp8008ooots0ldi7hs4	0		
climate_control	cmnyodrlm0071ootsydcj5kn8	0		
cold_equipment_control	cmnyodrls0075ootsr9y7prhz	0		
complaint_register	cmnyp94xi004e08tsa8bnu76e	0		
disinfectant_usage	cmnyp94yo004g08tspxoi4695	0		
equipment_calibration	cmnyodrno0085ootsy941dzai	0		
equipment_cleaning	cmnyodrot008footsewlruur0	0		
equipment_maintenance	cmnyodrnk0083oots27zzxlrl	0		
finished_product	cmnyodrmp007kootse49o6gwn	0		
fryer_oil	cmnyodrmx007nootso6dbqpof	0		
general_cleaning	cmnyp956b004p08tswlanw4gh	0		
glass_control	cmnyodrp0008jootso4d26bvc	0		
glass_items_list	cmnyp958v004t08tsn1jgqsid	0		
health_check	cmnyodrkc003oootsj2l9i45m	0		
hygiene	cmnyodrin000bootsej9rzpjo	0		
incoming_control	cmnyp95c2004z08tsl13qn8oc	0		
incoming_raw_materials_control	cmnyp95d6005108tssm00ul2t	0		
intensive_cooling	cmnyp95e6005308tsyh6zs77o	0		
med_books	cmnyp95ff005508tswjcps525	0		
metal_impurity	cmnyodror008eoots6d8r4koo	0		
perishable_rejection	cmnyodrms007loots94fafpxb	0		
pest_control	cmnyp95kg005a08ts78esrwis	0		
ppe_issuance	cmnyodrnq0086ootsb9cbr7tu	0		
product_writeoff	cmnyp95o5005e08ts5dk4ckta	0		
sanitary_day_control	cmnyp95pf005g08ts91ywlypt	0		
staff_training	cmnyodrnb007zootsdgu2bhje	0		
traceability_test	cmnyp95s3005j08tsxbo6zjmk	0		
training_plan	cmnyp95tk005l08tsbe69z9o9	0		
uv_lamp_runtime	cmnyodrmj007eootszhwxywvm	0		
